ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
512,512,272.49,64,25.93,48.979,63,26.06,14281780
2048,1536,336.31,64,26.22,42.058,63,26.27,24118324
8192,6144,354.89,64,25.71,41.822,63,25.76,63464500
32703,24511,662.18,64,25.11,46.539,63,25.19,0
