ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
512,512,271.95,64,23.93,44.105,63,23.97,14281780
2048,1536,334.17,64,23.98,43.334,63,24.01,24118324
8192,6144,355.44,64,23.77,44.138,63,23.80,63464500
32703,24511,661.72,64,23.29,44.963,63,23.33,0
