ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
512,512,273.11,64,24.04,46.857,63,24.10,14281780
2048,1536,335.54,64,24.03,44.424,63,24.06,24118324
8192,6144,356.11,64,23.92,44.543,63,23.96,63464500
32703,24511,661.58,64,23.31,51.992,63,23.40,0
