ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
512,512,272.35,64,23.93,44.510,63,23.97,14281780
2048,1536,335.88,64,23.98,43.586,63,24.01,24118324
8192,6144,355.18,64,23.77,44.849,63,23.81,63464500
32703,24511,661.35,64,23.31,44.447,63,23.34,0
