ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
512,512,277.30,64,25.95,40.949,63,26.00,14281780
2048,1536,335.02,64,25.99,40.327,63,26.03,24118324
8192,6144,355.56,64,25.67,41.350,63,25.72,63464500
32703,24511,661.95,64,25.23,41.710,63,25.27,0
