ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
512,512,276.49,64,24.02,43.852,63,24.06,14281780
2048,1536,336.10,64,23.97,43.984,63,24.00,24118324
8192,6144,355.00,64,23.78,43.576,63,23.82,63464500
32703,24511,662.14,64,23.48,43.713,63,23.50,0
