ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
512,512,247.01,64,18.80,54.534,63,18.82,14281780
2048,1536,318.72,64,18.87,53.678,63,18.89,24118324
8192,6144,339.59,64,18.58,55.272,63,18.60,63464500
32703,24511,648.60,64,18.18,55.094,63,18.19,0
