ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
1024,1024,163.43,256,23.37,36.130,255,23.37,177812892
2048,1024,151.61,256,23.43,36.608,255,23.43,0
