ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
1024,1024,268.86,256,32.38,31.398,255,32.40,177812892
2048,1024,247.94,256,29.42,34.754,255,29.44,0
