ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
14336,14336,274.88,256,37.08,41.460,255,37.15,496502172
16384,2048,253.39,256,35.71,52.039,255,35.84,0
