ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
14336,14336,257.97,256,34.93,41.221,255,34.99,496502172
16384,2048,249.56,256,36.64,28.610,255,36.65,0
