id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	24	20.008825325	0.833701055	0	0	24	24	0.833701055	-0.833701055	480	480	1.000000000	24	15	0.625000000	480	344	0.716666667	480	9488.730871470	9488.647501364	456	438	0.960526316
case_001	18	24	6.365770123	0.265240422	1	16	24	24	0.265240422	-0.265240422	480	478	0.995833333	24	20	0.833333333	478	350	0.732217573	478	9483.973830063	9483.947195041	454	449	0.988986784
case_002	19	24	17.798357132	0.741598214	0	0	24	24	0.741598214	-0.741598214	480	478	0.995833333	24	15	0.625000000	478	360	0.753138075	478	9485.983880826	9485.909410712	454	438	0.964757709
case_003	19	24	18.781793755	0.782574740	0	0	24	24	0.782574740	-0.782574740	480	479	0.997916667	24	18	0.750000000	479	330	0.688935282	479	9485.022008080	9484.943587229	455	447	0.982417582
case_004	15	24	13.421522036	0.559230085	0	0	24	24	0.559230085	-0.559230085	480	479	0.997916667	24	20	0.833333333	479	302	0.630480167	479	9475.279008055	9475.222968297	473	466	0.985200846
case_005	14	24	12.256307710	0.510679488	1	1	24	24	0.510679488	-0.510679488	480	477	0.993750000	24	19	0.791666667	477	355	0.744234801	477	9483.408966182	9483.357577051	453	446	0.984547461
case_006	18	24	14.436943357	0.601539307	1	1	24	24	0.601539307	-0.601539307	480	478	0.995833333	24	19	0.791666667	478	321	0.671548117	478	9485.597218875	9485.536813254	454	446	0.982378855
case_007	14	24	18.058864436	0.752452685	0	0	24	24	0.752452685	-0.752452685	480	480	1.000000000	24	15	0.625000000	480	354	0.737500000	480	9469.666061786	9469.590816518	474	458	0.966244726
case_008	20	24	10.240120515	0.426671688	0	0	24	24	0.426671688	-0.426671688	480	480	1.000000000	24	19	0.791666667	480	337	0.702083333	480	9487.175280496	9487.132613327	456	449	0.984649123
case_009	17	24	5.225002931	0.217708455	1	14	24	24	0.217708455	-0.217708455	480	475	0.989583333	24	23	0.958333333	475	329	0.692631579	475	9479.626672007	9479.604671994	451	448	0.993348115
case_010	26	24	8.727271779	0.363636324	0	0	24	24	0.363636324	-0.363636324	480	477	0.993750000	24	22	0.916666667	477	329	0.689727463	477	9479.495689990	9479.459097655	453	448	0.988962472
case_011	21	24	4.194918485	0.174788270	1	24	24	24	0.174788270	-0.174788270	480	479	0.997916667	24	24	1.000000000	479	349	0.728601253	479	9485.831590399	9485.814075082	455	455	1.000000000
case_012	22	24	15.864722929	0.661030122	0	0	24	24	0.661030122	-0.661030122	480	480	1.000000000	24	19	0.791666667	480	333	0.693750000	480	9485.039766860	9484.973663848	456	442	0.969298246
case_013	22	24	5.637419535	0.234892481	1	1	24	24	0.234892481	-0.234892481	480	480	1.000000000	24	23	0.958333333	480	334	0.695833333	480	9484.290979549	9484.267490300	456	453	0.993421053
case_014	21	24	9.886625011	0.411942709	0	0	24	24	0.411942709	-0.411942709	480	479	0.997916667	24	20	0.833333333	479	347	0.724425887	479	9486.290404050	9486.249123779	455	448	0.984615385
case_015	22	24	18.449909339	0.768746222	0	0	24	24	0.768746222	-0.768746222	480	480	1.000000000	24	20	0.833333333	480	360	0.750000000	480	9486.653268702	9486.576394080	456	442	0.969298246
case_016	19	24	15.289990758	0.637082948	1	4	24	24	0.637082948	-0.637082948	480	479	0.997916667	24	17	0.708333333	479	362	0.755741127	479	9475.538567089	9475.474725791	473	463	0.978858351
case_017	26	24	13.040173395	0.543340558	0	0	24	24	0.543340558	-0.543340558	480	480	1.000000000	24	19	0.791666667	480	319	0.664583333	480	9483.310759212	9483.256425156	456	450	0.986842105
case_018	25	24	6.733975100	0.280582296	1	1	24	24	0.280582296	-0.280582296	480	479	0.997916667	24	22	0.916666667	479	349	0.728601253	479	9484.930387187	9484.902270380	455	450	0.989010989
case_019	19	24	19.028505790	0.792854408	1	13	24	24	0.792854408	-0.792854408	480	478	0.995833333	24	18	0.750000000	478	309	0.646443515	478	9477.497853143	9477.418235964	472	462	0.978813559
case_020	18	24	19.602781858	0.816782577	0	0	24	24	0.816782577	-0.816782577	480	480	1.000000000	24	17	0.708333333	480	352	0.733333333	480	9472.448793294	9472.367115036	474	459	0.968354430
case_021	18	24	0.888838479	0.037034937	1	24	24	24	0.037034937	-0.037034937	480	475	0.989583333	24	24	1.000000000	475	356	0.749473684	475	9478.411978353	9478.408235875	451	451	1.000000000
case_022	16	24	13.448042757	0.560335115	1	6	24	24	0.560335115	-0.560335115	480	479	0.997916667	24	20	0.833333333	479	319	0.665970772	479	9484.306252596	9484.250102104	455	444	0.975824176
case_023	14	24	15.091383324	0.628807639	0	0	24	24	0.628807639	-0.628807639	480	478	0.995833333	24	17	0.708333333	478	329	0.688284519	478	9482.842047295	9482.778903431	454	446	0.982378855
case_024	15	24	13.064354399	0.544348100	1	1	24	24	0.544348100	-0.544348100	480	478	0.995833333	24	21	0.875000000	478	368	0.769874477	478	9486.204064333	9486.149401763	454	449	0.988986784
case_025	20	24	8.155596811	0.339816534	0	0	24	24	0.339816534	-0.339816534	480	479	0.997916667	24	21	0.875000000	479	323	0.674321503	479	9485.633694777	9485.599642181	455	452	0.993406593
case_026	17	24	15.381128944	0.640880373	1	4	24	24	0.640880373	-0.640880373	480	480	1.000000000	24	16	0.666666667	480	337	0.702083333	480	9471.530734870	9471.466646833	492	475	0.965447154
case_027	14	24	8.213401814	0.342225076	1	4	24	24	0.342225076	-0.342225076	480	479	0.997916667	24	19	0.791666667	479	320	0.668058455	479	9482.583069421	9482.548775467	455	449	0.986813187
case_028	16	24	10.247444526	0.426976855	1	1	24	24	0.426976855	-0.426976855	480	479	0.997916667	24	19	0.791666667	479	297	0.620041754	479	9483.904075424	9483.861288599	455	448	0.984615385
case_029	18	24	16.789207474	0.699550311	1	6	24	24	0.699550311	-0.699550311	480	480	1.000000000	24	19	0.791666667	480	343	0.714583333	480	9489.143843577	9489.073888546	456	442	0.969298246
case_030	23	24	13.349078581	0.556211608	0	0	24	24	0.556211608	-0.556211608	480	480	1.000000000	24	19	0.791666667	480	359	0.747916667	480	9486.216151493	9486.160530332	456	445	0.975877193
case_031	22	24	4.110272772	0.171261366	1	3	24	24	0.171261366	-0.171261366	480	477	0.993750000	24	23	0.958333333	477	367	0.769392034	477	9479.784293835	9479.767059987	453	451	0.995584989
