PID  PPID STAT    RSS COMM
  347     1 Ss     2176 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  351     1 S      2000 /usr/sbin/distnoted
  360     1 S      2016 /usr/sbin/distnoted
  363     1 Ss    13872 /usr/libexec/searchpartyd
  366     1 S      2000 /usr/sbin/distnoted
  368     1 S      1984 /usr/sbin/distnoted
  369     1 Ss     2976 /System/Library/DriverExtensions/AppleCentauriControl.dext/AppleCentauriControl
  370     1 Ss    45952 /System/Library/DriverExtensions/AppleCentauriAlpha.dext/AppleCentauriAlpha
  371     1 Ss     6592 /System/Library/DriverExtensions/AppleCentauriBeta.dext/AppleCentauriBeta
  372     1 Ss     4304 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  373     1 Ss     4416 /usr/sbin/filecoordinationd
  380     1 Ss     2672 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  384     1 S      2000 /usr/sbin/distnoted
  386     1 Ss     7552 /System/Library/CoreServices/sharedfilelistd
  387     1 S      2016 /usr/sbin/distnoted
  388     1 Ss     2160 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  413     1 S      4640 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
  423     1 Ss     7200 /usr/libexec/wifip2pd
  459     1 S      2000 /usr/sbin/distnoted
  493     1 Ss     5792 /usr/sbin/BTLEServer
  495     1 Ss     3424 /usr/libexec/sysmond
  496   108 S      2912 /usr/sbin/systemstats
  503     1 S      3968 /usr/sbin/distnoted
  504     1 S      5328 /usr/sbin/cfprefsd
  505     1 S     11152 /usr/libexec/secd
  508     1 S      9856 /usr/libexec/UserEventAgent
  513     1 S     15520 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  515     1 S      6992 /usr/sbin/universalaccessd
  517     1 S      8496 /usr/libexec/ContinuityCaptureAgent
  518     1 S      6704 /usr/libexec/pboard
  519     1 S      3776 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  520     1 S     11296 /usr/libexec/lsd
  522     1 S     12848 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  523     1 S      3184 /usr/libexec/containermanagerd
  524     1 S     13472 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/AXVisualSupportAgent.app/Contents/MacOS/AXVisualSupportAgent
  525     1 S     14832 /usr/libexec/linkd
  529     1 S     12160 /usr/libexec/nsurlsessiond
  531     1 S     11696 /usr/libexec/rapportd
  533     1 S     18576 /usr/sbin/usernoted
  534     1 S     26992 /usr/libexec/routined
  535     1 S     10944 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  536     1 S     14912 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  539     1 S     19712 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  540     1 S     10496 /System/Library/CoreServices/sharedfilelistd
  541     1 S     12544 /usr/libexec/trustd
  543     1 S      7408 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  544     1 S     12736 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  546     1 S     16288 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  547     1 S      9888 /System/Library/CoreServices/talagentd
  548     1 S     27616 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  549     1 S    128624 /Applications/Visual Studio Code.app/Contents/MacOS/Code
  551     1 Ss    11760 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
  552     1 Ss     9536 /usr/libexec/gamepolicyd
  556     1 S      6208 /System/Library/Frameworks/Contacts.framework/Support/contactsd
  558     1 S      9840 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  559     1 S      3904 /System/Library/CoreServices/RemoteManagement/ARDAgent.app/Contents/MacOS/ARDAgent
  560     1 S      3504 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  562     1 S    117296 /Applications/Ghostty.app/Contents/MacOS/ghostty
  564     1 S     15616 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  568     1 S     22144 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  569     1 S     49536 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  570     1 S      8016 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  571     1 S      6576 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  572     1 S      8384 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  573     1 S     46224 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  576     1 S     32304 /usr/libexec/sharingd
  577     1 S      9952 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  578     1 S     40864 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  579     1 S      3392 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  581     1 S     17456 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  585     1 Ss     7776 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  592     1 S      7328 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  594     1 S     18240 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  596     1 S     16704 /System/Library/CoreServices/iconservicesagent
  598     1 S      3040 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent
  601     1 Ss     7824 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension
  602     1 Ss     4992 /System/Library/ExtensionKit/Extensions/WallpaperImageExtension.appex/Contents/MacOS/WallpaperImageExtension
  606     1 S     14288 /System/Library/CoreServices/audioaccessoryd
  610     1 S      5744 /Applications/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler
  611     1 S      3312 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  613     1 S      9312 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  618   549 S     69888 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper
  619   549 S     30656 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper
  620     1 S     35088 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  626     1 Ss     8384 /usr/libexec/nearbyd
  627     1 S     16320 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  630     1 Ss     1440 /usr/libexec/rosetta/oahd
  636     1 S      9312 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  637     1 S      6224 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
