PID  PPID STAT    RSS COMM
23557 97261 S    118192 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper (Renderer).app/Contents/MacOS/Brave Origin Helper (Renderer)
23657     1 S     24912 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared
24291     1 Ss    18768 /System/Library/PrivateFrameworks/UIFoundation.framework/Versions/A/XPCServices/nsattributedstringagent.xpc/Contents/MacOS/nsattributedstringagent
24458     1 S     11152 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
24751  1206 Ss    27408 /opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
24770 24751 R      1776 ps
25419     1 Ss     5024 /usr/sbin/systemsoundserverd
29322     1 S     17424 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
29323     1 S     10336 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
31420     1 Ss     8384 /usr/libexec/mobileassetd
31780     1 S      8048 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService
31917     1 S     14384 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
31918     1 S      5232 /usr/libexec/keyboardservicesd
32229     1 S     12304 /usr/libexec/pkd
32632     1 S      7904 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
32653     1 Ss     3040 /usr/libexec/containermanagerd_system
32847     1 S      1696 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimLaunchHost.arm64.xpc/Contents/MacOS/SimLaunchHost.arm64
33325     1 Ss     2880 /usr/libexec/securityd_system
34404     1 S      2064 /usr/sbin/distnoted
34681     1 S     12704 /System/Library/PrivateFrameworks/SkyLight.framework//Versions/A/Resources/AquaAppearanceHelper.app/Contents/MacOS/AquaAppearanceHelper
36394     1 S      2000 /usr/sbin/distnoted
36544     1 S     12112 /usr/libexec/proactived
37141     1 Ss    20736 /usr/libexec/PerfPowerServices
37616     1 S      8320 /System/Library/Frameworks/Contacts.framework/Support/postersyncd
37617     1 S     13872 /System/Library/PrivateFrameworks/WorkflowKit.framework/XPCServices/ShortcutsViewService.xpc/Contents/MacOS/ShortcutsViewService
37619     1 S     11376 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
37708     1 Ss    11744 /System/Library/Frameworks/AuthenticationServices.framework/Versions/A/XPCServices/com.apple.AuthenticationServices.Helper.xpc/Contents/MacOS/com.apple.AuthenticationServices.Helper
37853     1 S     11232 /usr/libexec/remindd
37869     1 S      6592 /usr/libexec/findmylocateagent
38022     1 S      9600 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
38086     1 Ss     1504 /usr/libexec/logd_helper
39210     1 S      2096 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
39211     1 S     15376 /Library/Apple/System/Library/PrivateFrameworks/RemotePairing.framework/Versions/A/XPCServices/remotepairingd.xpc/Contents/MacOS/remotepairingd
39216     1 Ss     3632 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Resources/bin/simdiskimaged
39218     1 Ss     2608 /usr/libexec/diskimagesiod
39354     1 S      9744 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
39357     1 S      5072 /usr/libexec/trustd
39369     1 S      5072 /usr/libexec/trustd
39370     1 S      5088 /usr/libexec/trustd
39371     1 S      3024 /usr/libexec/containermanagerd
39372     1 S      3264 /usr/libexec/containermanagerd
39705     1 S      2304 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
40441     1 S     16144 /Library/Developer/PrivateFrameworks/CoreDevice.framework/Versions/A/XPCServices/CoreDeviceService.xpc/Contents/MacOS/CoreDeviceService
40504     1 Ss     3904 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
42077     1 S      1520 /usr/bin/ssh-agent
42183     1 S     10400 /usr/libexec/spotlightknowledged.updater
42268     1 S      5616 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
42470 97261 S    287168 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper (Renderer).app/Contents/MacOS/Brave Origin Helper (Renderer)
42471 97261 S     81648 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper (Renderer).app/Contents/MacOS/Brave Origin Helper (Renderer)
42505 97261 S    127664 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper (Renderer).app/Contents/MacOS/Brave Origin Helper (Renderer)
43767     1 Ss    16288 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
48350     1 Ss     4240 /usr/libexec/historicalaudiod
48353     1 S      3408 /usr/libexec/assessmentagent
48414     1 Ss     9824 /usr/libexec/ospredictiond
48431     1 S     18176 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
48432     1 S      3504 /usr/libexec/feedbackd
48435     1 S     14848 /usr/libexec/knowledge-agent
48451     1 Ss     1840 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
48467     1 S      9280 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
48468     1 S      4896 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent
48487     1 S      3584 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
48824     1 Ss     2064 /usr/libexec/online-auth-agent
48843     1 S      7248 /System/Library/PrivateFrameworks/WebPrivacy.framework/webprivacyd
48939     1 Ss     3792 /usr/libexec/powerexperienced
49167     1 S      3488 /System/Library/PrivateFrameworks/IntelligenceFlowRuntime.framework/Versions/A/intelligenceflowd
49624     1 S      9392 /usr/libexec/neagent
51575     1 Ss    11184 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
51577     1 S      5456 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
51578     1 S     11232 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
51579     1 S     17056 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
51580     1 Ss     7856 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
51582     1 S     18960 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
51583     1 S      6832 /usr/libexec/secinitd
51585     1 S      4480 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
51586     1 S      6064 /System/Library/CoreServices/ScopedBookmarkAgent
51587     1 S      8752 /System/Library/PrivateFrameworks/SessionCore.framework/Support/liveactivitiesd
51588     1 Ss     1792 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
51604     1 S      6000 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
51842     1 S      4816 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
55078     1 S     65824 /Users/panda/Projects/open-source/tools/mcp-rotator-gateway/.venv/bin/python
55133     1 S     11808 /usr/libexec/networkserviceproxy
55136     1 S      5072 /usr/libexec/swtransparencyd
55137     1 Ss     5056 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
55138     1 Ss     4032 /System/Library/CoreServices/osanalyticshelper
55393     1 Ss    20368 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
55394     1 Ss     8256 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
56826     1 Ss     8048 /usr/libexec/amfid
57292     1 S      8016 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
57293     1 S     11776 /usr/libexec/mlhostd
57294     1 Ss     5312 /usr/libexec/powerdatad
57295     1 Ss     2784 /usr/libexec/aneuserd
57296     1 Ss     2896 /usr/libexec/aned
60063     1 Ss     9024 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
61297     1 S      7392 /usr/libexec/replayd
62418     1 S     13312 /System/Library/PrivateFrameworks/IntelligenceFlowContextRuntime.framework/Versions/A/intelligencecontextd
63304     1 Ss     4096 /usr/libexec/centaurid
63305     1 S     12976 /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd
63306     1 S      7952 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
63383     1 Ss     6448 /usr/libexec/rtcreportingd
63806     1 Ss     4320 /usr/libexec/biometrickitd
65212     1 Ss     6112 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
65245     1 S     19200 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
66141     1 Ss     2496 /usr/libexec/dhcp6d
66900     1 S    113632 /Applications/Jump Desktop Connect.app/Contents/MacOS/JumpConnect
68657     1 Ss     4544 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
68660     1 Ss     2016 /System/Library/CoreServices/ReportCrash
68662     1 Ss     1568 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
68668 68520 Ss    47440 /Users/panda/.nvm/versions/node/v24.19.0/bin/node
69714     1 Ss    10096 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
69715     1 S      4288 /System/Library/PrivateFrameworks/IntelligencePlatformCore.framework/Versions/A/intelligenceplatformd
69716     1 S     10800 /usr/libexec/tipsd
69717     1 Ss     5008 /System/Library/PrivateFrameworks/MobileAssetDaemon.framework/Versions/A/XPCServices/com.apple.MobileAsset.DownloadService.Builtin.xpc/Contents/MacOS/com.apple.MobileAsset.DownloadService.Builtin
69718     1 S     16272 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
69734     1 S      4224 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
69736     1 Ss     2688 /usr/libexec/uarpassetmanagerd
69737     1 Ss     2544 /System/Library/PrivateFrameworks/UARPAssetManager.framework/XPCServices/UARPAssetManagerServiceMobileAsset.xpc/Contents/MacOS/UARPAssetManagerServiceMobileAsset
69807     1 Ss     4528 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
69808     1 Ss     3296 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
69810     1 Ss     3552 /System/Library/CoreServices/TimeMachine/backupd-helper
69813     1 Ss     2064 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
69814     1 Ss     6048 /usr/libexec/triald_system
69815     1 Ss     5936 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
69816     1 Ss     2720 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
69817     1 S      6928 /usr/libexec/triald
69818     1 Ss     2736 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
69819     1 S      2352 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
69820     1 S     14336 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
69821     1 Ss     4464 /usr/libexec/AssetCache/AssetCache
69823     1 Ss     4960 /usr/libexec/storagekitd
69824     1 Ss     2576 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
69830     1 Ss     5248 /System/Library/PrivateFrameworks/TrialServer.framework/Versions/A/XPCServices/TrialArchivingService.xpc/Contents/MacOS/TrialArchivingService
69860     1 Ss     6048 /usr/libexec/fskitd
69861     1 S      5888 /usr/libexec/swcd
70466     1 Ss     7888 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
71912     1 S     11056 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
74085 74026 Ss    37152 /Users/panda/.nvm/versions/node/v24.19.0/bin/node
75934     1 Ss     2272 /System/Library/PrivateFrameworks/DiskImages.framework/Resources/hdiejectd
77682     1 S      8672 /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
77865     1 Ss     5664 /usr/libexec/PowerUIAgent
85468     1 S     14384 /usr/libexec/searchpartyuseragent
87936     1 S     12048 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
88597     1 S     10864 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
88598     1 S      5632 /usr/libexec/dmd
88599     1 S      4080 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
88601     1 S      6016 /System/Library/CoreServices/pbs
89183     1 Ss    41120 /Applications/PyThinker.app/Contents/MacOS/PyThinker
89218     1 S      6848 /usr/libexec/bluetoothuserd
89443     1 Ss    28272 /System/Library/CoreServices/Dock.app/Contents/XPCServices/DockHelper.xpc/Contents/MacOS/DockHelper
89444     1 S      2192 /System/Library/CoreServices/ReportCrash
89665     1 Ss     2352 /usr/libexec/hidd
90118     1 Ss     3664 /System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd
91336     1 Ss     9248 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
92482     1 S     13072 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
92878     1 S     82320 /Applications/CodexBar.app/Contents/MacOS/CodexBar
94690     1 S     15728 /usr/libexec/transparencyd
94706     1 S      4224 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
94707     1 Ss     4752 /usr/libexec/mobileactivationd
95928     1 SN    10064 next-server (v16.3.4)
96018     1 Ss    10256 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
96024     1 S      5232 /System/Library/PrivateFrameworks/CoreParsec.framework/parsec-fbf
96532     1 Ss     9248 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTEncoderXPCService.xpc/Contents/MacOS/VTEncoderXPCService
96636     1 Ss    14864 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
96888     1 Ss     1824 /usr/libexec/seputil
97261     1 S    341136 /Applications/Brave Origin.app/Contents/MacOS/Brave Origin
97279     1 S      5632 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/chrome_crashpad_handler
97281 97261 S    118832 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper.app/Contents/MacOS/Brave Origin Helper
97282 97261 S     91376 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper.app/Contents/MacOS/Brave Origin Helper
97283 97261 S     40896 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper.app/Contents/MacOS/Brave Origin Helper
97295 97261 S     79232 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper (Renderer).app/Contents/MacOS/Brave Origin Helper (Renderer)
97296 97261 S     73824 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper (Renderer).app/Contents/MacOS/Brave Origin Helper (Renderer)
97305 97261 S      4608 /Users/panda/.codex/plugins/cache/openai-bundled/chrome/latest/extension-host/macos/arm64/ChatGPT for Chrome
97307 97261 S      3952 /Applications/Claude.app/Contents/Helpers/chrome-native-host
97308     1 Ss    10704 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
97327 97261 S     40624 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper.app/Contents/MacOS/Brave Origin Helper
97328 97261 S     40688 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper.app/Contents/MacOS/Brave Origin Helper
97360 97261 S     75520 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper (Renderer).app/Contents/MacOS/Brave Origin Helper (Renderer)
98303     1 Ss     8480 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
98975     1 S     10768 /System/Library/PrivateFrameworks/MapsSync.framework/mapssyncd
99301     1 Ss     5088 /usr/libexec/smd
99302     1 Ss     8864 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd
99327     1 Ss     3536 /System/Library/CoreServices/iconservicesd
 1127   562 Ss     6416 /usr/bin/login
 1135  1127 S      1616 -/bin/zsh
 1190  1135 S+    35568 node
 1206  1190 S+   212096 /Users/panda/.nvm/versions/node/v24.19.0/lib/node_modules/@openai/codex/node_modules/@openai/codex-darwin-arm64/vendor/aarch64-apple-darwin/bin/codex
 1254  1206 S     11600 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node_repl
 1255  1206 S     50160 /Users/panda/.nvm/versions/node/v24.19.0/bin/node
 1256  1206 S     57344 node
 1257  1206 S     25840 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node
 1259  1206 S     14576 /opt/homebrew/bin/railway
 1272  1206 S     50944 npm exec @playwright/mcp@latest
 1277  1206 S     52960 chrome-devtools-mcp
 1284  1257 S     11472 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node_repl
 1350  1272 S     40896 node
 2117  1206 S     25344 /Users/panda/.nvm/versions/node/v24.19.0/lib/node_modules/@openai/codex/node_modules/@openai/codex-darwin-arm64/vendor/aarch64-apple-darwin/bin/codex-code-mode-host
73906   562 Ss     5408 /usr/bin/login
73907 73906 S       672 -/bin/zsh
73970 73907 S+   241408 claude
74026 73970 S+    41584 chrome-devtools-mcp
74027 73970 S+    40368 node
74028 73970 S+    37168 node
74076 73970 S+    37536 node
68323 89905 S+   416016 claude
68520 68323 S+    50320 chrome-devtools-mcp
68522 68323 S+    44624 node
68528 68323 S+    40320 node
68639 68323 S+    40912 node
89905   757 Ss      688 /run/current-system/sw/bin/zsh
