ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
1024,1024,276.00,256,36.01,29.522,255,36.06,177812892
100000,98976,238.64,256,29.68,32.995,255,29.70,0
