ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
1024,1024,239.57,256,31.30,33.572,255,31.33,177812892
2048,1024,224.94,256,29.15,34.809,255,29.17,0
