ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
1024,1024,222.26,256,32.47,29.650,255,32.49,177812892
32768,31744,205.91,256,29.93,32.848,255,29.95,0
