ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
1024,1024,179.38,256,25.28,41.093,255,25.31,177812892
2048,1024,171.03,256,23.86,39.175,255,23.87,0
