ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
1024,1024,265.59,256,22.37,30.187,255,22.36,177812892
2048,1024,142.78,256,22.05,39.721,255,22.05,0
