ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
512,512,273.77,64,25.65,40.517,63,25.68,14281780
2048,1536,336.19,64,25.87,51.601,63,26.03,24118324
8192,6144,355.14,64,26.21,40.381,63,26.25,63464500
32703,24511,662.38,64,25.02,41.302,63,25.05,0
