ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
512,512,286.10,64,29.05,35.592,63,29.08,14281780
2048,1536,349.79,64,29.03,34.269,63,29.05,24118324
8192,6144,367.87,64,28.76,37.048,63,28.81,63464500
32703,24511,670.40,64,28.25,36.157,63,28.28,0
