ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
1024,1024,248.09,256,34.39,29.639,255,34.42,177812892
2048,1024,231.56,256,33.15,30.343,255,33.18,0
